id,name,hurricane_category,year,month_day,date,hours_minutes,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure,34_kt_ne,34_kt_se,34_kt_sw,34_kt_nw,50_kt_ne,50_kt_se,50_kt_sw,50_kt_nw,64_kt_ne,64_kt_se,64_kt_sw,64_kt_nw
AL031999,BRET,1,1999,0821,19990821,0000,,HU,21.9,-94.5,65.0,983.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,1,1999,0821,19990821,0600,,HU,22.5,-94.7,75.0,980.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,1,1999,0821,19990821,1200,,HU,23.1,-94.9,80.0,979.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,2,1999,0821,19990821,1800,,HU,23.8,-95.0,90.0,975.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,4,1999,0822,19990822,0000,,HU,24.7,-95.1,120.0,954.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,4,1999,0822,19990822,0600,,HU,25.5,-95.5,125.0,950.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,4,1999,0822,19990822,1200,,HU,26.2,-96.1,125.0,944.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,4,1999,0822,19990822,1800,,HU,26.6,-96.8,120.0,946.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,3,1999,0823,19990823,0000,L,HU,26.9,-97.4,100.0,951.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,1,1999,0823,19990823,0600,,HU,27.0,-97.9,80.0,963.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL041999,CINDY,1,1999,0822,19990822,0000,,HU,14.2,-31.7,65.0,987.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL041999,CINDY,1,1999,0822,19990822,0600,,HU,14.4,-32.3,65.0,987.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL041999,CINDY,1,1999,0822,19990822,1200,,HU,14.5,-32.7,65.0,987.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL041999,CINDY,1,1999,0826,19990826,0000,,HU,21.7,-48.2,65.0,987.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL041999,CINDY,1,1999,0826,19990826,0600,,HU,22.9,-49.5,65.0,987.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL041999,CINDY,1,1999,0826,19990826,1200,,HU,24.2,-50.8,65.0,987.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
